load_date,ActiveConnectionCount,HTTPCode_ELB_4XX_Count,HTTPCode_ELB_5XX_Count,HTTPCode_Target_2XX_Count,HTTPCode_Target_4XX_Count,RequestCount,RequestCountPerTarget,TargetResponseTime,UnHealthyHostCount,i_0cec130025dfcd779_CPUUtilization,i_0e3640b16ef872228_CPUUtilization,cab_db_CPUUtilization,hits
22-04-2020 10.20,1,1,0,0,0,0,0,0,0,0,0,0,409
22-04-2020 10.50,1,2,0,0,0,0,0,0,0,0,0,0,28
22-04-2020 11.30,1,0,1,0,0,0,0,0,0,0,0,0,45
22-04-2020 11.35,3,0,3,0,0,0,0,0,0,0,0,0,3
22-04-2020 12.10,2,10,10,0,0,0,0,0,0,0,0,0,15
22-04-2020 12.50,1,0,1,0,0,0,0,0,0,0,0,0,39
22-04-2020 13.00,1,0,1,0,0,0,0,0,0,0,0,0,19
22-04-2020 15.45,1,0,1,0,0,0,0,0,0,0,0,0,212
22-04-2020 16.20,1,0,1,0,0,0,0,0,0,0,0,0,13
22-04-2020 19.45,1,0,1,0,0,0,0,0,0,0,0,0,290
22-04-2020 19.55,1,0,1,0,0,0,0,0,0,0,0,0,29
22-04-2020 20.15,1,0,1,0,0,0,0,0,0,0,0,0,16
22-04-2020 20.45,1,0,1,0,0,0,0,0,0,0,0,0,21
22-04-2020 21.40,1,0,1,0,0,0,0,0,0,0,0,0,164
23-04-2020 0.00,1,0,1,0,0,0,0,0,0,0,0,0,422
23-04-2020 1.45,2,10,10,0,0,0,0,0,0,0,0,0,151
23-04-2020 2.20,1,0,1,0,0,0,0,0,0,0,0,0,58
23-04-2020 3.45,1,1,0,0,0,0,0,0,0,0,0,0,134
23-04-2020 7.35,1,0,1,0,0,0,0,0,0,0,0,0,535
23-04-2020 8.10,0,0,0,0,0,0,0,0,1,0.332823933,0,0,80
23-04-2020 8.15,0,0,0,0,0,0,0,0,1,0.333370381,0,0,10
23-04-2020 8.20,0,0,0,0,0,0,0,0,1,0.301166991,0,0,7
23-04-2020 8.25,0,0,0,0,0,0,0,0,1,0,0,0,6
23-04-2020 9.05,10,0,10,0,0,0,0,0,0,0,0,0,87
23-04-2020 10.00,1,0,1,0,0,0,0,0,0,0,0,0,88
23-04-2020 10.15,2,1,0,0,0,0,0,0,0,0,0,0,30
23-04-2020 12.05,1,0,1,0,0,0,0,0,0,0,0,0,201
23-04-2020 12.35,1,0,1,0,0,0,0,0,0,0,0,0,61
23-04-2020 12.40,4,10,12,0,0,0,0,0,0,0,0,0,14
23-04-2020 13.35,1,0,1,0,0,0,0,0,0,0,0,0,96
23-04-2020 16.15,1,0,1,0,0,0,0,0,0,0,0,0,2236
23-04-2020 16.55,3,0,4,0,0,0,0,0,0,0,0,0,102
23-04-2020 17.50,1,0,1,0,0,0,0,0,0,0,0,0,134
23-04-2020 18.40,1,0,1,0,0,0,0,0,0,0,0,0,169
23-04-2020 18.55,1,0,1,0,0,0,0,0,0,0,0,0,64
23-04-2020 19.00,1,1,0,0,0,0,0,0,0,0,0,0,50
23-04-2020 19.20,1,0,1,0,0,0,0,0,0,0,0,0,219
23-04-2020 19.35,1,1,0,0,0,0,0,0,0,0,0,0,216
23-04-2020 19.40,1,0,1,0,0,0,0,0,0,0,0,0,64
23-04-2020 20.35,1,0,1,0,0,0,0,0,0,0,0,0,689
23-04-2020 22.40,1,0,1,0,0,0,0,0,0,0,0,0,863
23-04-2020 23.25,1,0,0,0,0,0,0,0,0,0,0,0,132
24-04-2020 0.10,1,0,1,0,0,0,0,0,0,0,0,0,132
24-04-2020 0.45,1,1,0,0,0,0,0,0,0,0,0,0,135
24-04-2020 0.50,2,1,1,0,0,0,0,0,0,0,0,0,18
24-04-2020 1.00,3,0,1,0,0,0,0,0,0,0,0,0,33
24-04-2020 1.20,2,10,10,0,0,0,0,0,0,0,0,0,54
24-04-2020 2.15,1,0,1,0,0,0,0,0,0,0,0,0,230
24-04-2020 3.35,2,0,6,0,0,0,0,0,0,0,0,0,216
24-04-2020 4.25,2,1,2,0,0,0,0,0,0,0,0,0,152
24-04-2020 4.45,1,1,0,0,0,0,0,0,0,0,0,0,62
24-04-2020 5.25,1,0,1,0,0,1,1,0,1,0.331573585,0,0,112
24-04-2020 5.30,0,0,0,0,0,0,0,0,1,0.367268686,0,0,31
24-04-2020 5.35,0,0,0,0,0,0,0,0,1,0.334500324,0,0,9
24-04-2020 5.40,0,0,0,0,0,0,0,0,1,0.366666667,0,0,22
24-04-2020 5.45,0,0,0,0,0,0,0,0,1,0.366157266,0,0,17
24-04-2020 5.50,0,0,0,0,0,0,0,0,1,0.367382702,0,0,10
24-04-2020 5.55,0,0,0,0,0,0,0,0,1,0.366194313,0,0,14
24-04-2020 6.00,1,0,1,0,0,1,1,0,1,0.366666667,0,0,17
24-04-2020 6.05,0,0,0,0,0,0,0,0,1,0.332258961,0,0,11
24-04-2020 6.10,1,0,1,0,0,1,1,0,1,0.366703714,0,0,17
24-04-2020 6.15,0,0,0,0,0,0,0,0,1,0.36557377,0,0,7
24-04-2020 6.20,0,0,0,0,0,0,0,0,1,0.334011363,0,0,12
24-04-2020 6.25,0,0,0,0,0,0,0,0,1,0.366703714,0,0,17
24-04-2020 6.30,0,0,0,0,0,0,0,0,1,0.46779661,0,0,9
24-04-2020 6.35,1,1,0,0,0,0,0,0,1,0.332353495,0,0,22
24-04-2020 6.40,0,0,0,0,0,0,0,0,1,0.40016492,0,0,11
24-04-2020 6.45,0,0,0,0,0,0,0,0,1,0,0,0,16
24-04-2020 6.50,0,0,0,0,0,0,0,0,2,0.666728412,0.386218394,0,16
24-04-2020 6.55,0,0,0,0,0,0,0,0,1,0,0,0,49
24-04-2020 7.35,3,1,1,0,0,0,0,0,0,0,0,0,135
24-04-2020 7.50,1,0,1,0,0,0,0,0,0,0,0,0,8
24-04-2020 8.25,1,0,1,0,0,0,0,0,0,0,0,0,16
24-04-2020 8.35,1,0,1,0,0,0,0,0,0,0,0,0,3
24-04-2020 8.55,1,1,0,0,0,0,0,0,0,0,0,0,9
24-04-2020 9.25,2,1,1,0,0,0,0,0,0,0,0,0,125
24-04-2020 9.40,2,0,1,0,0,0,0,0,0,0,0,0,11
24-04-2020 9.45,2,0,2,0,0,0,0,0,0,0,0,0,5
24-04-2020 9.50,2,0,6,0,0,0,0,0,0,0,0,0,4
24-04-2020 10.00,1,0,1,0,0,0,0,0,0,0,0,0,5
24-04-2020 10.10,1,0,1,0,0,0,0,0,0,0,0,0,2
24-04-2020 10.15,1,0,1,0,0,0,0,0,0,0,0,0,3
24-04-2020 11.00,1,0,1,0,0,0,0,0,0,0,0,0,153
24-04-2020 12.00,4,0,6,0,0,0,0,0,0,0,0,0,1816
24-04-2020 12.15,1,0,1,0,0,0,0,0,0,0,0,0,444
24-04-2020 12.55,2,10,10,0,0,0,0,0,0,0,0,0,877
24-04-2020 14.15,1,0,1,0,0,0,0,0,0,0,0,0,105
24-04-2020 14.25,1,0,1,0,0,0,0,0,0,0,0,0,10
24-04-2020 14.30,2,0,6,0,0,0,0,0,0,0,0,0,10
24-04-2020 14.45,1,0,1,0,0,0,0,0,0,0,0,0,14
24-04-2020 16.15,1,0,1,0,0,0,0,0,0,0,0,0,94
24-04-2020 16.40,2,0,6,0,0,0,0,0,0,0,0,0,12
24-04-2020 17.10,1,1,0,0,0,0,0,0,0,0,0,0,14
24-04-2020 17.25,1,1,0,0,0,0,0,0,0,0,0,0,9
24-04-2020 17.30,1,0,0,0,0,0,0,0,0,0,0,0,4
24-04-2020 19.00,1,1,0,0,0,0,0,0,0,0,0,0,86
24-04-2020 21.15,2,0,6,0,0,0,0,0,0,0,0,0,68
